Optimal Objective Value (Upper Bound),691440187.688254
Execution Time (Seconds),0.623826

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
0,Dhaka,Yes,57981.532500,57981.532500,99056262.588943
1,Chattogram,Yes,50220.225000,50220.225000,128722723.794992
3,Mymensingh,Yes,53872.605000,53872.605000,126447739.556979
6,Rangpur,Yes,37284.712500,45654.750000,85521616.555038
7,Barishal,Yes,55242.247500,55242.247500,131585721.994127
8,Naogaon,Yes,49763.677500,49763.677500,120106123.198174

Assignments (x[j][i]):
Facility ID (j),Facility City,Customer ID (i),Customer City,Assignment Value
0,Dhaka,0,Gāzipura,34905.005000
0,Dhaka,2,Nārāyanganj,3268.527500
0,Dhaka,9,Savar,7686.000000
0,Dhaka,10,Tungi,6995.000000
0,Dhaka,14,Siddhirganj,5127.000000
1,Chattogram,4,Chauddagram,8868.000000
1,Chattogram,6,Barura,1682.225000
1,Chattogram,11,Comilla,5916.000000
1,Chattogram,13,Feni,5296.000000
1,Chattogram,16,Companiganj,5013.000000
1,Chattogram,21,Cox’s Bāzār,4479.000000
1,Chattogram,23,Brahmanpara,4103.000000
1,Chattogram,30,Maijdi,2624.000000
1,Chattogram,33,Fulgāzi,2393.000000
1,Chattogram,43,Panchari Bazar,1251.000000
1,Chattogram,44,Nakhyaungcharīpāra,1233.000000
1,Chattogram,56,Chhāgalnāiya,973.000000
1,Chattogram,57,Bhārella,898.000000
1,Chattogram,60,Dohazāri,812.000000
1,Chattogram,62,Sītākund,743.000000
1,Chattogram,65,Chandanais,710.000000
1,Chattogram,67,Dāganbhuiya,678.000000
1,Chattogram,70,Lohāgāra,625.000000
1,Chattogram,73,Parsuram,589.000000
1,Chattogram,78,Lakshmīcharīpāra,527.000000
1,Chattogram,84,Sonāgāzi,409.000000
1,Chattogram,91,Fatikchari,204.000000
1,Chattogram,92,Latifpur,194.000000
3,Mymensingh,0,Gāzipura,18592.995000
3,Mymensingh,8,Tāngāil,7849.000000
3,Mymensingh,12,Brāhmanbāria,5369.000000
3,Mymensingh,25,Narsingdi,3704.000000
3,Mymensingh,29,Srīpur,2654.000000
3,Mymensingh,35,Netrakona,1832.000000
3,Mymensingh,38,Habiganj,1670.000000
3,Mymensingh,40,Mānikganj,1427.000000
3,Mymensingh,47,Arankhola,1205.000000
3,Mymensingh,49,Elenga,1110.000000
3,Mymensingh,53,Sunāmganj,1011.000000
3,Mymensingh,54,Gopālpur,1000.000000
3,Mymensingh,55,Muktāgācha,991.000000
3,Mymensingh,59,Maulavi Bāzār,830.000000
3,Mymensingh,61,Kālihāti,746.000000
3,Mymensingh,64,Kishmat Dhanbāri,719.000000
3,Mymensingh,66,Hatibanda,698.000000
3,Mymensingh,69,Nagdha Simla,160.610000
3,Mymensingh,75,Mirzāpur,564.000000
3,Mymensingh,79,Phulpur,512.000000
3,Mymensingh,80,Sakhipur,472.000000
3,Mymensingh,83,Shāhbāzpur,428.000000
3,Mymensingh,87,Latifpur,328.000000
6,Rangpur,1,Rangapukur,20631.000000
6,Rangpur,7,Bogra,2084.322500
6,Rangpur,22,Dinājpur,4123.000000
6,Rangpur,26,Jamālpur,3356.000000
6,Rangpur,31,Saidpur,2541.000000
6,Rangpur,45,Lalmanirhat,1206.000000
6,Rangpur,69,Nagdha Simla,474.390000
6,Rangpur,93,Saidpur,2869.000000
7,Barishal,2,Nārāyanganj,16094.472500
7,Barishal,6,Barura,6423.775000
7,Barishal,17,Jessore,4874.000000
7,Barishal,18,Bānchpār,4832.000000
7,Barishal,27,Bhāndāria,2913.000000
7,Barishal,32,Farīdpur,2441.000000
7,Barishal,34,Sātkhira,2273.000000
7,Barishal,37,Bhola,1744.000000
7,Barishal,39,Lakshmīpur,1656.000000
7,Barishal,41,Kaukhāli,1402.000000
7,Barishal,42,Patuakhāli,1298.000000
7,Barishal,46,Pirojpur,1204.000000
7,Barishal,50,Jālākāti,1090.000000
7,Barishal,52,Gopālganj,1034.000000
7,Barishal,58,Char Fasson,868.000000
7,Barishal,63,Benāpol,736.000000
7,Barishal,68,Barguna,659.000000
7,Barishal,71,Nālchiti,613.000000
7,Barishal,72,Majidpur,612.000000
7,Barishal,74,Mathba,569.000000
7,Barishal,76,Daulatkhān,556.000000
7,Barishal,82,Amtali,445.000000
7,Barishal,85,Jagatpur,389.000000
7,Barishal,88,Bāisāri,307.000000
7,Barishal,90,Faradābād,209.000000
8,Naogaon,3,Sirājganj,9000.000000
8,Naogaon,5,Kushtia,8356.000000
8,Naogaon,7,Bogra,5937.677500
8,Naogaon,15,Jhenida,5058.000000
8,Naogaon,19,Nazipur,4632.000000
8,Naogaon,20,Chuādānga,4497.000000
8,Naogaon,24,Pābna,3802.000000
8,Naogaon,28,Nawābganj,2852.000000
8,Naogaon,36,Goalundo Ghāt,1835.000000
8,Naogaon,48,Raharpur,1177.000000
8,Naogaon,51,Sherpur,1033.000000
8,Naogaon,77,Duptiair,531.000000
8,Naogaon,81,Mundamāla,446.000000
8,Naogaon,86,Harinākunda,351.000000
8,Naogaon,89,Dhubaria,256.000000
